Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Coordinates,Latitude,Longitude
7/5/1970,8:09,"Toronto, Canada",Air Canada,621,Montreal - Toronto - Los Angeles,McDonnell Douglas DC-8-63,CF-TIW,46114/526,109,109,0,"While attempting to land at Toronto, at approximately 60 feet above the runway, the spoilers were inadvertently deployed causing the aircraft to fall to the runway and lose the No. 4 engine. With the wing on fire, the captain decided to go-around but while circling the plane lost the No. 3 engine and eventually went into a seep dive and crashed. Inadvertent deployment of the spoilers by the first officer while the aircraft was still in the air. Faulty design by allowing the spoiler handle to perform two different unrelated tasks (lift to arm and pull to deploy). After the crash McDonnell Douglas denied there was any design flaw and the FAA decided to issue an Airworthiness Directive requiring a warning placard on all DC8s. After two and possibly three more crashed with the same cause an AD was issued requiring a safety lock be installed.","43.6532260,-79.3831843",43.653226,-79.3831843
5/15/1970,,"Kishiniev, Moldavia, USSR",Aeroflot,,,Antonov AN-10,CCCP11149,,11,11,0,The plane crashed during a training flight.,"47.0104529,28.8638102",47.0104529,28.8638102
4/1/1970,8:16,"Casablanca, Morocco",Royal Air Maroc,,Agadir - Casablanca,Aerospatiale Caravelle 3,CN-CCV,032/33,82,61,0,The aircraft crashed 9.7 km short of the runway during approach in the fog and broke in two.,"33.5731104,-7.5898434",33.5731104,-7.5898434
4/1/1970,,"Novosibirsk, Russia",Aeroflot,,,Antonov AN-24V,CCCP-47751,79901204,45,45,0,The aircraft crashed after colliding with a balloon.,"54.9832693,82.8963831",54.9832693,82.8963831
2/6/1970,," Samarkand, USSR",Aeroflot,,,Ilyushin IL-18V,CCCP-75798,182004303,92,92,0,"Crashed into a mountain at an elevation of 5,000 ft. Misidentification of the aircraft by the air trafficontroller.","39.6270120,66.9749731",39.627012,66.9749731
2/4/1970,," Corrientes, Argentina",Aerolineas Argentinas,,Corrientes - Rosario,Hawker Siddeley HS-748 1,LV-HGW,1539,37,37,0,Crashed in a storm 8 minutes after taking off. Went into a dive and crashed at a high rate of speed into the ground. Severe turbulence and adverse weather conditions.,"-27.4692131,-58.8306349",-27.4692131,-58.8306349
1/29/1970,," Murmansk, Russia",Aeroflot,,,Tupolev TU-124,CCCP-45083,5351706,11,11,0,Crashed on approach.,"68.9733113,33.0855849",68.9733113,33.0855849
1/28/1970,," Batagai, Russia",Aeroflot,,,Antonov AN-24,CCCP-47701,59900202,34,34,0,Crashed into high ground on approach after executing a premature descent.,"67.6625130,134.6543500",67.662513,134.65435
12/6/1969,," Khantanga, Russia",Aeroflot,,,Antonov An-12PL,CCCP-11381,402807,8,8,0,Crashed short of the runway on approach. Icing.,"71.9640270,102.4406129",71.964027,102.4406129
12/3/1969,,"Off Caracas, Venezuela",Air France,212,"Caracas - Pointe a Pitre, Guadeloupe",Boeing B-707-328B,F-BHSZ,18459/335,62,62,0,"At a height of 3,000 ft., the aircraft suddenly nosed  into the sea, 3 minutes after taking off.","10.4805937,-66.9036063",10.4805937,-66.9036063
11/13/1969,," Anderma, Russia",Aeroflot,,,Antonov An-12TB,CCCP-11376,402406,9,9,0,Crashed on approach. Icing.,"69.7512210,61.6636961",69.751221,61.6636961
8/26/1969,,"Moscow, Russia",Aeroflot,,,Ilyushin IL-18,,,112,16,0,Engine fire led to an emergency landing with the landing gear retracted.,"55.7558260,37.6172999",55.755826,37.6172999
4/7/1969,,"Sept-Îles, Canada",Air Canada,,,Vickers 757 Viscount,CF-THK,271,21,1,0,"A fire in the left landing gear caused the plane to return for an emergency landing. After landing to a full stop,  control was lost of the No.1 engine. Loss of control of the left main gear brakes caused the aircraft to circle to the right during the evacuation. Overheating of the starter selector relay during the starting of the No.1 and 2 engines. The proximity of a wire bundle to the relay provided a source of combustion for the initial fire.","50.2132968,-66.3757920",50.2132968,-66.375792
1/18/1969,18:21,"Off Los Angeles, California",United Air Lines,266,Los Angeles - Denver - Milwaukee,Boeing B-727-22QC,N7434U,19891/631,38,38,0,"The aircraft crashed into Santa Monica Bay shortly after a night takeoff in poor weather and visibility. The crew reported a fire warning in  the No. 1 engine and shut it down. After initiating a turn, the aircraft crashed into the water at high speed. The aircraft was dispatched with one generator inoperative. While this was legal, United was required to repair the generator at the first airport where there were repair facilities. The aircraft flew for a total of 41 hours with the inoperative generator passing through airports that had the facilities to repair the generator. Shutting  down the engine took the second generator offline leaving just one generator which became overloaded causing it to trip, resulting in the loss of all electrical power in the aircraft. For reasons undetermined, the battery standby switch was not turned on. At night, in rain, with no lights or instruments, the captain became disoriented and crashed into the PacifiOcean, 11.5 miles west of Los Angeles International Airport, four minutes after its initial takeoff roll. Battery backup for instruments was not required at the time. This crash prompted the FAA to require all transport category aircraft to have a standby attitude indicator which is powered by an independent source. False fire warning which prompted the shutting down of the No. 1 engine. Failure of the crew to unpower the heavy electrical loads before shutting down the No. 1 engine. Failure of UAL to repair the No. 3 generator in a timely manner.","34.0522342,-118.2436849",34.0522342,-118.2436849
9/11/1968,10:30,"Off Cap d'Antibes, France",Air France,1611,Ajaccio - Nice,Sud-Aviation Caravelle 3,F-BOHB,244,95,95,0,"The airliner crashed into the Mediterranean sea, 10 miles south of Nice Airport, while attempting an emergency landing 21 minutes after taking off. Prior to the crash a message was received that there was fire aboard in the rear of the cabin.","43.5804180,7.1251020",43.580418,7.125102
4/22/1968,,"Moscow, Russia",Aeroflot,,Training,Ilyushin IL-18V,CCCP-75526,183006804,5,5,0,Struck power lines while landing.,"55.7558260,37.6172999",55.755826,37.6172999
3/24/1968,10:59,"Off Wexford Harbor, Ireland",Aer Lingus,712,Cork - London,Vickers Viscount 803,EI-AOM,178,61,61,0,"The aircraft was believed to have gone into a spin or spiral dive with recovery at about 12,000 ft. The dive apparently caused structural damage which resulted in the aircraft plunging into St George's Channel, 10 miles east of Carnsore Point. Possible causal factors may have been metal fatigue, corrosion, flutter (vibration) or a bird strike.","52.3389979,-6.4582280",52.3389979,-6.458228
3/6/1968,20:32,"Basse-Terre, Guadeloupe, West Indies",Air France,212,Caracas - Pointe a Pitre,Boeing B-707-328C,F-BLCJ,19724,63,63,0,"After reporting the field in sight, the aircraft struck the ridge of a dormant volcano. The crew initiated a descent from an incorrectly identified point while flying VFR.","16.1296290,-61.6538050",16.129629,-61.653805
2/29/1968,," Bratsk, Russia",Aeroflot,,Krasnoyarsk - Petropavlovsk,Ilyushin IL-18D,CCCP-74252,187010601,82,82,0,"Cruising at flight level 260, some type of emergency developed. An abrupt descent was begun and accelerated until aerodynamiforces broke apart the plane. Cause unknown.","56.2928363,101.7121217",56.2928363,101.7121217
12/30/1967,8:28,"Liepaja, Latvia",Aeroflot,,Riga - Liepaja,Antonov AN-24,CCCP-46215,67302909,51,44,0,The aircraft crashed during a go-around after a failed landing attempt.,"56.5046678,21.0108060",56.5046678,21.010806
12/25/1967,13:49,"Chiang Mai, Thailand",Thai Airways,2,Bangkok - Chiang Mai,Douglas DC-3,HS-TDH,9189,31,4,0,"During poor weather and after a flyby, the pilot requested a Runway 18 approach. The pilot decided to make a visual approach along the middle of 3 diverging roads, which was aligned with the runway. Because of the fog, the pilot began his approach along the third road which extended to the Royal Thai Air Force fuel storage instead of Runway 18. When the aircraft got close to the ground, the pilot realized that he was approaching the wrong road. He tried to initiate a go-around but the aircraft became unstable as he raised the nose slipped to the left and stalled the plane. The No.1 engine hit the ground first, 200 meters from the airport.","18.7952876,98.9620002",18.7952876,98.9620002
11/16/1967,," Sverdlovsk, Russia",Aeroflot,,,Ilyushin IL-18B,CCCP-75538,184007002,130,130,0,The plane climbed to 700 ft. and crashed into the ground. Malfunctioning artificial horizon and compass.,"56.8430993,60.6454086",56.8430993,60.6454086
6/22/1967,,"Dublin, Ireland",Aer Lingus,,Training,Vickers 803 Viscount,EI-AOF,176,3,3,0,An unintentional stall and incipient spin at a low altitude from which recovery was not possible.,"53.3498053,-6.2603097",53.3498053,-6.2603097
5/19/1967,18:37,"Ottawa, Ontario, Canada",Air Canada,,Training -Montreal - Ottawa,Douglas DC-8-54F,CF-TJM,45653/178,3,3,0,The plane rolled to the right and crashed inverted. Failure to abandon a training maneuver under conditions which precluded the availability of adequate flight control.,"45.4215296,-75.6971931",45.4215296,-75.6971931
4/27/1967,," Sogamosa, Colombia",AVIANCA,,,Douglas DC-3,HK-326,4631,18,17,0,Crashed shortly after taking off.,"5.7160848,-72.9311289",5.7160848,-72.9311289
3/30/1967,0:45,"New Orleans, Louisiana",Delta Air Lines,9877,New Orleans AP - New Orleans AP,McDonnell Douglas DC-8-51,N802E,45409/19,6,6,13,Crashed into hotel during training flight. Improper supervision by the instructor and the improper use of flight and power controls by both instructor and the captain-trainee during a simulated two-engine out landing approach.,"29.9510658,-90.0715323",29.9510658,-90.0715323
12/24/1966,9:56,"cali, colombia",AVIANCA,729,Bogota - Cali,Douglas C-47A-80-DL,HK-161,19630,29,29,0,"Crashed into the southern slopes of Tajumbina Peak at 11,600 ft. while approaching Cali. Lack of cockpit discipline. Consuming alcohol shortly before the flight. Not following the recommended route. Incorrectly reported positions. Continuing VFR in IFR conditions. Flying below minimum safe altitude for a VFR approach.","3.4516467,-76.5319854",3.4516467,-76.5319854
12/2/1966,,"Moscow, Russia",Aeroflot,,Moscow - Brazzaville,Tupolev TU-114B,CCCP-76457,1270805,21,21,0,Crashed into a snowbank on the takeoff roll in poor visibility.,"55.7558260,37.6172999",55.755826,37.6172999
11/15/1966,2:42," Dallgow, Germany",American Airlines,,Frankfurt - Berlin,Boeing 727-21,N317PA,18995/221,3,3,0,The cargo plane crashed while landing. The descent of the flight below its altitude clearance limit for reasons unknown.,"52.5420864,13.0590617",52.5420864,13.0590617
11/13/1966,20:30,"Off Matsuyama, Japan",All Nippon Airways,533,Osaka - Matsuyama,NAMC-YS-11-111,JA8658,2023,50,50,0,The plane crashed into the sea after overshooting the runway and during a go-around. Undetermined cause.,"33.8393515,132.7653057",33.8393515,132.7653057
9/22/1966,3:15,"Bogota, Colombia",Avianca,,Bogota - Barranquilla,Douglas DC-4,HK-174,42929,2,2,0,"The cargo plane struck trees at the end of the runway after trying to make an emergency landing. Material failure consisting in fatigue failure of a number of teeth of the pinion of the governor control unit, which was jammed against the rack in the 'up' position and therefore set for maximum rpm, thus causing the engine to overspeed. This would be in keeping with the fact that the dome ring was at maximum low pitch setting, i.e. high rpm and a runway propeller on take-off.","4.7109886,-74.0720920",4.7109886,-74.072092
7/4/1966,15:59,"Auckland, New Zealand",Air New Zealand,,Training,Douglas DC-8-52,ZK-NZB,45751/231,5,2,0,"The incurrence of reverse thrust during simulated failure of no. 4 engine on takeoff. That condition arose when very rapid rearward movement of the power level generated an inertia force which caused the associated thrust brake lever to rise and enter the reverse idle detent. After lift-off, the minimum control speed essentially required to overcome the prevailing state of thrust imbalance was never attained and an uncontrollable roll, accompanied by some degree of yaw and sideslip in the same direction, ensued. When the condition of reverse thrust was recognized and eliminated, insufficient time and height were available to allow the aircraft to recover from its precarious attitude before it struck the ground.","-36.8484597,174.7633315",-36.8484597,174.7633315
2/4/1966,19:00,"Tokyo Bay, Japan",All Nippon Airways,8302,Chitose - Tokyo,Boeing B-727-81,JA8302,18822/126,133,133,0,"The jetliner crashed about 7.5 miles ESE of Tokyo International (Haneda) Airport where it was scheduled to land. The aircraft was on VFR approach and was observed at a height of 2, 000 ft. just before the crash.  Cause undetermined. Excessive sink rate is thought to have caused four 727 accidents in succession. Lake Michigan 8/16/65, Cincinnati 11/8/65, Salt Lake City 11/11/65 and Tokyo Bay 2/4/66. Only the Salt Lake and Cincinnati crashes were officially attributed to it. After 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected.","35.5310740,139.8893534",35.531074,139.8893534
1/28/1966,17:50,"Bremen, Germany",Lufthansa,5,Frankfurt - Bremen,Convair CV-440-0,D-ACAT,464,46,46,0,Crashed on approach in heavy fog. The aircraft stalled while making a turn at low altitude. Instrument malfunction.,"53.0792962,8.8016936",53.0792962,8.8016936
1/24/1966,8:02,"Mont Blanc, French Alps, Switzerland",Air India,101,Bombay - Beirut  - Geneva - Paris - London -New York,Boeing B-707-437,VT-DMN,18055/200,117,117,0,"The aircraft was told to hold at 1,000 ft. above the clouds  before landing at Geneva  but descended below the minimum safe altitude and crashed into Mont Blanc. With a malfunctioning No. 2 VOR the crew thought they had already passed Mt. Blanc. Miscalculation by the crew on their position and the phraseology used by the controller in relay the aircraft's position. Hambi Bhabha, father of India's nuclear program killed. The aircraft was named Kanchenjunga.","45.8326223,6.8651749",45.8326223,6.8651749
1/15/1966,20:55,"Off Cartagena, Colombia",AVIANCA,4,Bogata - Crespo,Douglas DC-6-54B,HK-730,18325,64,56,0,Crashed shortly after taking off. The plane rose less than 100 ft. and then crashed into shallow water.  Possible engine failure. Maintenance error and inadequate inspections.,"10.3932277,-75.4832311",10.3932277,-75.4832311
11/11/1965,17:52,"Salt Lake City, Utah",United Air Lines,227,Denver - Salt Lake City,Boeing B-727-22,N7030U,18322/130,91,43,0,"The aircraft crashed short of the runway and collided with runway lights, 335 feet short of the runway, causing the main landing gear to fail followed by a fire. Too high of a descent rate during approach. Failure of the captain to take  timely action to arrest an excessive descent rate during the landing approach. Excessive sink rate is thought to have caused four 727 accidents in succession. Lake Michigan 8/16/65, Cincinnati 11/8/65, Salt Lake City 11/11/65 and Tokyo Bay 2/4/66. Only the Salt Lake and Cincinnati crashes were officially attributed to it. After 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected. Bill Linderman, 45, champion rodeo cowboy killled.","40.7607793,-111.8910474",40.7607793,-111.8910474
11/10/1965,,"Murmansk, Russia",Aeroflot,,,Tupolev TU-124,CCCP-45086,5351801,32,32,0,Crashed during approach.,"68.9733113,33.0855849",68.9733113,33.0855849
11/8/1965,19:02,"Cincinnati Airport,  Covington, Kentucky",American Airlines,383,New York City - Cincinnati,Boeing B-727-23,N1996,18901/153,62,58,0,"The aircraft crashed short of runway during a visual approach in deteriorating weather conditions. Failure of the flight crew to properly monitor the aircraft's height during the approach into deteriorating weather conditions resulting in an excessive sink rate. Excessive sink rate is thought to have caused four 727 accidents in succession.  Lake Michigan 8/16/65, Cincinnati 11/8/65, Salt Lake City 11/11/65 and Tokyo Bay 2/4/66. Only the Salt Lake and Cincinnati crashes were officially attributed to it. After 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected.","39.1037667,-84.4293278",39.1037667,-84.4293278
10/17/1965,,"Bucaramanga, Colombia",AVIANCA,,Bogota - Bucaramanga,Douglas DC-3 / Piper PA-18A,HK-118/HK-922F,6182,19,19,0,"Midair collision between a Douglas DC-3 and Piper PA-18.  Eighteen killed on the DC-3, one on the Piper.","7.1193490,-73.1227416",7.119349,-73.1227416
9/14/1965,,"Gore, Ethiopia",Ethiopian Airlines,,,Douglas DC-3,ET-ABI,12000,17,17,0,,"8.1513421,35.5356866",8.1513421,35.5356866
8/16/1965,20:21,"Lake Michigan,  Chicago, Illinois",United Air Lines,389,New York City - Chicago,Boeing B-727-22,N7036U,18328/146,30,30,0,"The plane crashed into Lake Michigan 19.5 miles east of Lake Forest, Illinois during  an approach and while descending from FL 350. The aircraft made a continuous descent at an average rate of approximately 2,000 feet per minute from 35,000 feet to impact with the water in a clean flight configuration. Officially, a cause could not be determined. The aircraft was dispatched illegally without an operating CVR. Possible misread altimeter. The crew could have read the altimeter as 16,000 instead of  6,000 ft. and continued a descent below what they were cleared for. Possible excessive sink rate. Excessive sink rate is thought to have possibly caused four 727 accidents in succession. Lake Michigan 8/16/65, Cincinnati 11/8/65, Salt Lake City 11/11/65 and Tokyo Bay 2/4/66. Only the Salt Lake and Cincinnati crashes were officially attributed to it. After 727 training manuals were modified and pilots were reoriented to the flying characteristics of the aircraft the problem was corrected.","41.8781136,-87.6297982",41.8781136,-87.6297982
7/1/1965,5:29,"Kansas City, Missouri",Continental Airlines,12,"Los Angeles - Kansas City, MO",Boeing B-707-124,N70773,17609/25,66,0,0,The aircraft slid off the end of the runway while landing and broke in two. Hydroplaning of the landing gear wheels which led to braking ineffectiveness.,"39.0997265,-94.5785667",39.0997265,-94.5785667
4/14/1965,,"Jersey, UK",United Air Lines,1030X,"Paris - Jersey , Channel Islands",Douglas C-47B,G-ANTB,15762/27207,27,26,0,"The aircraft crashed on its second approach in deteriorating weather condtions, crashing 3,000 feet short of the runway. The aircraft struck the approach lighting when it was flown below the safe approach path during an approach to land in conditions of very low clouds and poor visibility. The pilot disregarded the approach ban applied by his operations manual.","49.2144390,-2.1312500",49.214439,-2.13125
3/22/1965,14:55,"Sugar Loaf Mountain, Colombia",AVIANCA,676,Bogota - Bucaramanga,Douglas C-47,HK-109,4753,28,28,0,"Crashed into Pan de Azucar Peak, 35 nm from Bucaramanga. Flying under VFR in IFR conditions.","-22.9492586,-43.1545757",-22.9492586,-43.1545757
3/8/1965,,"Kuybyshev,  Russia",Aeroflot,,,Tupolev TU-124,CCCP-45028,2350803,25,25,0,Crashed shortly after taking off.,"53.2037720,50.1606382",53.203772,50.1606382
9/15/1964,17:51," Condoto, Colombia",AVIANCA,,Condoto - Medellin,Douglas C-47A,HK-319,19680,2,2,0,"The cargo plane touched down, bounced twice, climbed and crashed. Improperly loaded cargo.","5.0895460,-76.6520790",5.089546,-76.652079
9/2/1964,,"Island of Sakhalin, Russia",Aeroflot,,Krasnoyarsk - Yuzhno,Ilyushin IL-18B,CCCP-75531,180002402,87,87,0,"After insisting on and getting a direct approach without completing a standard traffipattern, the airliner crashed into a wooded hillside. The controller lacked the radar with which to monitor the flight. Blame was placed on both the crew of the airliner and the ATC. Lack of radar facilities. Premature descent. Inexperience with the area and poor flight planning.","50.6909848,142.9505689",50.6909848,142.9505689
7/9/1964,18:15,"Parrottsville, Tennesee",United Air Lines,823,Philidelphia - Washington - Knoxville - Huntsville,Vickers Viscount 745D,N7405,103,39,39,0,"The plane crashed 2 miles northeast of Parrottsville after experiencing an uncontrollable fire of unknown origin which started below the passenger floor and eventually involved the passenger cabin. One passenger died after free-falling out of the No. 4 emergency escape window of the plane in an attempt to escape the onboard fire. The ignition source was never determined, but it is thought the plane's battery or something in a passenger's luggage caused the fire.  Testing revealed lethal amounts of CO2 could be discharged into the cockpit instead of the lower baggage compartment. The plane was seen flying erratically and the fire eventually burned through the controls.  It is likely the crew was unconscious by then.","36.0092653,-83.0923775",36.0092653,-83.0923775
7/8/1964,12:10,"Knoxville, Tennessee",United Air Lines,,,Caravelle VIR,N1007U,92,53,1,0,"While climbing to cruise altitude the plane hit turbulence, downdrafts and updrafts. One passenger's seat belt  failed, killing the passenger.","35.9606384,-83.9207392",35.9606384,-83.9207392
3/28/1964,22:39,"Mt. Vesuvius, Italy",Alitalia,45,Rome - Napoli,Vickers Viscount 785D,I-LAKE,328,45,45,0,The plane crashed during  final approach. Failure to discontinue visual approach in the absence of minimum visibility conditions required for the type of maneuvers involved. Abnormally wide initiation of down wind leg which brought the aircraft along an unsafe path in relation to the terrain in the area.,"40.8223830,14.4289058",40.822383,14.4289058
11/8/1963,17:59,"Mariehamn, Aaland Island, Finland",Finnair,217,Turku - Mariehamn,Douglas DC-3,OH-LCA,9799,24,22,0,The aircraft flew below the safe flying altitude and hit trees on the approach line in fog. Wrong indication of the pilot's altimeter during the instrument approach. Landing carried out in below minimum conditions.,"60.0961216,19.9508057",60.0961216,19.9508057
10/20/1963,,"Hayes Island, Russia",Aeroflot,,,Ilyushin IL-14,CCCP-04188,6341301,5,5,0,,"80.5738659,57.6199105",80.5738659,57.6199105
8/21/1963,12:15," Leningrad , Russia",Aeroflot,,Tallinn - Moscow,Tupelov Tu-124,CCCP-45021,2350701,52,0,0,After the landing gear did not retract  after takeoff the flight was diverted to Leningrad because of fog.  After circling for a long time the plane began to lose it's engines because of fuel starvation and a ditch was carried out in River Neva.,"59.9310584,30.3609096",59.9310584,30.3609096
8/14/1963,15:00," Great Falls, Montana",American Airlines,1814,,Curtiss C-46F-1-CU,N67941,22391,2,1,0,"The aircraft lost an engine during takeoff and could not gain sufficient altitude, entered a canyon which forced a landing in a field causing the aircraft to strike a small earth dam. The failure of the captain to effect a proper and timely assessment of a power plant malfunction, followed by improper judgment and technique during a single-engine emergency operation.","47.5052849,-111.3007715",47.5052849,-111.3007715
7/13/1963,," Irkutsk, Russia",Aeroflot,,Moscow - Irkutsk,Tupolev TU-104B,CCCP42492,21605,35,35,0,Crashed 2 miles short of the runway during approach. Premature descent.,"52.2854834,104.2890222",52.2854834,104.2890222
2/8/1963,,"Syktyvkar ,Russia",Aeroflot,,Training,Antonov An-10A,CCCP-11193,402104,7,7,0,The plane stalled and crashed.,"61.6641145,50.8168773",61.6641145,50.8168773
1/29/1963,22:44,"Kansas City, Missouri",Continental Airlines,290,"Midland, TX - Kansas City, MO",Vickers Viscount 812,N242V,356,8,8,0,"While making a straight in approach, the aircraft continued flying over the runway to the south end and while at a height of 90 feet, suddenly pitched down and struck the ground. Icing of the horizontal stabilizer which led to loss of pitch control.","39.0997265,-94.5785667",39.0997265,-94.5785667
11/23/1962,12:24,"Ellicott, Maryland",United Air Lines,297,Newark - Washington D.C.,Vickers Viscount 745D,N7430,128,18,18,0,"The aircraft penetrated a flock of Whistling Swans at 6,000 ft. One, estimated to be 13 pounds, struck the leading edge of the left horizontal stabilizer, weakening the structure and causing it to detach. The aircraft lost control and broke-up in mid-air and crashed. Bird collision.","39.2673283,-76.7983067",39.2673283,-76.7983067
11/19/1962,," Nagoya, Japan",All Nippon Airways,,,Vickers 828 Viscount,JA8202,444,4,4,0,"Made a sharp turn, nosed up and hit the ground.","35.1814506,136.9065571",35.1814506,136.9065571
10/25/1962,," Moscow, Russia",Aeroflot,,,Tupolev TU-104B,CCCP-42495,21703,10,10,0,Crashed on takeoff on a test flight. Rudder controls improperly installed.,"55.7558260,37.6172999",55.755826,37.6172999
9/2/1962,," Khabarovsk, USSR",Aeroflot,,Khabarovk - Petropavlovsk,Tupolev TU-104A,CCCP-42366,86601103,86,86,0,The airliner crashed and burned 10 minutes after taking off from Khabarovsk Airport.The crew reported that they were experiencing shaking and uncontrollable roll and yaw.,"48.4814433,135.0720666",48.4814433,135.0720666
7/30/1962,,"Coulommiers, France",Air France,,Training,Douglas DC-3,F-BAOE,11769,8,4,0,Crashed during a training flight.,"48.8130710,3.0834970",48.813071,3.083497
7/28/1962,,"Sochi, Russia",Aeroflot,,,Antonov An-10A,CCCP-11186,402003,81,81,0,"Struck a mountain while attempting to land. Changes in the approach patterns for Sochi Airport, not approved by the State aviation authorities and without informing the flight crews about it.  Inadequacies of flight control and crew training in the Sochi area and training for flights in mountainous regions in general.","43.6028079,39.7341543",43.6028079,39.7341543
7/7/1962,23:59," Junnar, Maharashtra, India",Alitalia,771,Bangkok - Bombay,McDonnell Douglas DC-8-43,I-DIWD,45631/160,94,94,0,"The aircraft crashed into a hill  Bombay, India, at an elevation of 3,600 ft. 50 miles ENE of the airport. Navigational error.  Premature descent. Crew did not use navigational facilities available.","19.2031842,73.8742500",19.2031842,73.87425
7/6/1962,," Tashkent, Uzbekistan, USSR",Aeroflot,,,Ilyushin IL-14,,,14,14,0,,"41.2994958,69.2400734",41.2994958,69.2400734
6/30/1962,," Krasnoyarsk, USSR",Aeroflot,,,Tupolev TU-104A,CCCP-42370,86601301,84,84,0,The aircraft went into an uncontrollable dive from FL 290.,"56.0152834,92.8932476",56.0152834,92.8932476
6/28/1962,," Adler, Russia",Aeroflot,,Lvov - Sochi,Antonov AN-10A,CCCP11186,,81,81,0,The plane crashed into a mountain during an approach to Adler Airport. The accident was caused by a change in approach patterns to the airport on the part of controllers without approval from aviation authorities.  Lack of training by the carrier for flights into mountainous regions.,"43.4343234,39.9339462",43.4343234,39.9339462
6/22/1962,4:01,"Basse-Terre, Guadaloupe, West Indies",Air France,117,Paris - Pointe-a Pitre - Santaigo,Boeing B-707-328,F-BHST,18247/274,112,112,0,"The aircraft crashed into a 1,400 ft. hill while on approach, 15 miles from the runway threshold. Nonfunctioning VOR station. Insufficient meteorological information given to the flight crew. Malfunctioning automatidirection finder due to the effects of poor atmosphericonditions. The aircraft was named Chateau de Chantilly.","16.0144526,-61.7064109",16.0144526,-61.7064109
6/4/1962,,"Sofia, Bulgaria",Aeroflot,,,Tupolev Tu-104B,CCCP-42491,21604,5,5,0,Struck a mountain after losing an engine.,"42.6977082,23.3218675",42.6977082,23.3218675
6/3/1962,12:35,"Villeneuve-le-Roi, Val-de-Marne, France",Air France,,Paris - New York City,Boeing B-707-328,F-BHSM,17920/159,132,130,0,"During takeoff from Orly Airport, the nose rose for about 5 seconds and then dropped back down on the runway. Smoke streamed from the wheels as the crew tried to stop the aircraft but it ran off the runway and collided with the runway lights and a house. The only survivors were two stewardesses who were seated in the tail section which broke free in the crash. The aircraft's horizontal stabilizer was improperly trimmed due to a failure of the trim servo motor.","48.7320260,2.4075570",48.732026,2.407557
5/22/1962,21:21," Unionville, Missouri",Continental Airlines,11,"Chicago - Kansas City, MO",Boeing B-707-124,N70775,17611/49,45,45,0,"While en route from Chicago to Kansas City the airliner fell from FL 390 and crashed 6 miles north-northwest of Unionville, Missouri after an explosion aboard caused separation of the tail section. Detonation of a dynamite bomb in the right rear lavatory in the towel bin under the wash basin. This is the first case of sabotage on a commercial jet airliner. The bomb was believed to have been carried aboard by a passenger in a suicide-for-insurance plot.","40.4769606,-93.0032614",40.4769606,-93.0032614
3/1/1962,10:09,"Jamaica Bay, New York, New York",American Airlines,1,New York City - Los Angeles,Boeing B-707-123B,N7506A,17633/12,95,95,0,"After taking off from Idlewild Airport and reaching a height of 1,500 feet, the aircraft made a left turn but continued to roll until it was inverted and crashed into Jamaica Bay approximately 3 miles southwest of the control tower. A rudder control malfunction which caused  a full unwanted rudder deployment, yaw, sideslip and roll which led to loss of control of the aircraft. This was caused by the use of an improper tool at the manufacturing plant to wrap the rudder servo unit's wiring, damaging the wires and leading to a short circuit. There is speculation that the accident was actually caused by the captain putting the aircraft in a steep 45 degree bank which resulted in the loss of control of the aircraft.","40.6056632,-73.8713099",40.6056632,-73.8713099
2/25/1962,14:35,"Municipio de Marulanda, Colombia",Avianca,,Manizales - Bogota,Douglas C-47A,HK-502,19653,2,2,0,"After taking off the crew of the cargo plane declaired an emergency and crashed shortly after. The faulty procedure on the part of the pilot who made the en route climb from Manizales to San Felix at a low altitude, so that the aircraft became trapped in a canyon and crashed in the San Felix pass at La Aguadita after stalling during a turn at 9,000 ft.","5.2845918,-75.2606524",5.2845918,-75.2606524
1/27/1962,,Russia,Aeroflot,,,Antonov AN-10A,CCCP-11148,,13,13,0,Crashed on takeoff. Engine failure,"61.5240100,105.3187560",61.52401,105.318756
1/13/1962,," Tippi, Ethiopia",Ethiopian Airlines,,Tippi - Jimma,Douglas DC-3,ET-T-1,10053,18,5,1,Swerved off the runway while taking off and struck a structure.,"7.1966596,35.4288797",7.1966596,35.4288797
12/4/1961,,"Mainz, Germany",Lufthansa,,Training,Boeing 720-030B,D-ABOK,18058/202,3,3,0,Crashed into an open field in a steep dive after attempting an emergency landing.,"49.9928617,8.2472526",49.9928617,8.2472526
11/23/1961,5:40,"Campinas, Brazil",Aerolineas Argentinas,,Sao Paulo - Trinidad,de Havilland Comet 4,LV-AHR,6430,52,52,0,"After reaching an altitude of about 100 m, the aircraft lost altitude, collided with a eucalyptus forest and was destroyed. Pilot error. Failure to operate under IFR in adverse weather conditions at night. Failure to follow the climb procedure.","-22.9329252,-47.0738450",-22.9329252,-47.073845
